
2023/12/23 (17:23:50) | ===> btop++ v.1.2.13
2023/12/23 (17:23:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/25 (12:51:12) | ===> btop++ v.1.2.13
2023/12/25 (12:51:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/27 (15:42:24) | ===> btop++ v.1.2.13
2023/12/27 (15:42:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/27 (19:01:31) | ===> btop++ v.1.2.13
2023/12/27 (19:01:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/28 (15:32:41) | ===> btop++ v.1.2.13
2023/12/28 (15:32:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/29 (16:59:55) | ===> btop++ v.1.2.13
2023/12/29 (16:59:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/29 (17:36:28) | ===> btop++ v.1.2.13
2023/12/29 (17:36:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/29 (19:34:54) | ===> btop++ v.1.2.13
2023/12/29 (19:34:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/30 (20:19:30) | ===> btop++ v.1.2.13
2023/12/30 (20:19:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/31 (10:35:35) | ===> btop++ v.1.2.13
2023/12/31 (10:35:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/01 (12:36:26) | ===> btop++ v.1.2.13
2024/01/01 (12:36:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/02 (22:01:00) | ===> btop++ v.1.2.13
2024/01/02 (22:01:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/03 (11:28:55) | ===> btop++ v.1.2.13
2024/01/03 (11:28:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/04 (12:46:39) | ===> btop++ v.1.2.13
2024/01/04 (12:46:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/04 (12:51:06) | ===> btop++ v.1.2.13
2024/01/04 (12:51:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/05 (09:20:45) | ===> btop++ v.1.2.13
2024/01/05 (09:20:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/08 (11:12:13) | ===> btop++ v.1.2.13
2024/01/08 (11:12:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/09 (18:18:13) | ===> btop++ v.1.3.0
2024/01/09 (18:18:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/09 (18:20:43) | ===> btop++ v.1.3.0
2024/01/09 (18:20:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/09 (18:21:00) | ===> btop++ v.1.3.0
2024/01/09 (18:21:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (16:48:54) | ===> btop++ v.1.3.0
2024/01/10 (16:48:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (16:54:49) | ===> btop++ v.1.3.0
2024/01/10 (16:54:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (16:56:59) | ===> btop++ v.1.2.13
2024/01/10 (16:56:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/12 (21:51:08) | ===> btop++ v.1.2.13
